text,label
"Breaking: Scientists discover that drinking water cures all diseases! Share this message with 10 people.",0
"NASA confirms new planet similar to Earth discovered in nearby solar system.",1
"URGENT: Government hiding secret cure for cancer in banana peels! Must share!",0
"New study shows regular exercise and balanced diet improve health outcomes.",1
"WARNING: 5G towers are controlling people's minds through radio waves!",0
"Research indicates that getting enough sleep is crucial for mental health.",1
"SHOCKING: Celebrity reveals they are actually a robot controlled by aliens!",0
"Local community initiative leads to significant reduction in plastic waste.",1
"Doctor discovers miracle weight loss pill that works in 24 hours!",0
"New research suggests coffee consumption may have health benefits when consumed in moderation.",1
"BREAKING: Major tech company develops AI that can predict lottery numbers with 100% accuracy!",0
"Study finds correlation between screen time and sleep quality in teenagers.",1
"SECRET DOCUMENT REVEALS: World leaders are actually lizard people in disguise!",0
"WHO releases updated guidelines for COVID-19 prevention measures.",1
"MIRACLE FOOD discovered in Amazon rainforest makes you live forever!",0
"Research team identifies new potential treatment for type 2 diabetes.",1
"EXPOSED: Weather is controlled by secret government satellites!",0
"Environmental scientists report decline in Arctic ice coverage over past decade.",1
"Ancient civilization found living inside hollow Earth! Government cover-up!",0
"New archaeological discovery provides insights into ancient Roman trading routes.",1
"Scientists publish findings on climate change impact in peer-reviewed journal.",1
"Local weather forecast predicts rain for the weekend.",1
"University researchers develop new method for water purification.",1
"Stock market shows moderate gains in response to economic data.",1
"City council approves new recycling program after public consultation.",1
"Health department reports seasonal flu cases within expected range.",1
"Traffic update: Road construction causing delays on main highway.",1
"Local farm's organic produce receives certification after inspection.",1
"Public library announces extended hours starting next month.",1
"Sports team signs new player following successful tryouts.",1
"MUST SHARE: Doctors don't want you to know about this ancient cure!",0
"WARNING: Your phone is secretly recording everything you say!",0
"INCREDIBLE: Man becomes billionaire with this simple trick!",0
"LEAKED: Government has secret technology to control the weather!",0
"SHOCKING: Common household item causes instant weight loss!",0
"URGENT: Social media platforms will start charging users tomorrow!",0
"BREAKING: Famous celebrity reveals illuminati secrets!",0
"WARNING: Common food item found to be made of plastic!",0
"EXPOSED: Scientists hiding evidence of time travel!",0
"MIRACLE: Plant discovered that cures all diseases overnight!",0
